Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Pins
"BT1, BT2",2,1.5V,BatteryHolder_Multicomp_BC-2001_1x2032,,,,smt,Single-cell battery,,
C1,1,68pF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,,,,tht,Unpolarized capacitor,,
"C2, C3, C4, C5",4,100nF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,,,,tht,Unpolarized capacitor,,
"D1, D2",2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,,,,tht,Diode,D,1=K 2=A
H1,1,Famicom Cartridge Edge,Famicom_Cartridge_Edge_Connector_(long_legs),,,,smt,,,
IC1,1,Working RAM (62256),DIP-28_W15.24mm,,,,tht,"32,768-word × 8-bit High Speed CMOS Static RAM, 70ns, DIP-28",,
IC2,1,Program ROM (27256),DIP-28_W15.24mm,,,,tht,OTP EPROM 256 KiBit,,
IC3,1,74HCT20,DIP-14_W7.62mm,,,,tht,Dual 4-input NAND,,
IC4,1,Character ROM (2764),DIP-28_W15.24mm,,,,tht,"OTP EPROM 64 KiBit, [Obsolete 2004-01]",,
R1,1,5.1KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,
"R2, R3",2,10KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,
SW1,1,BACKUP SW,SW_E-Switch_EG1224_SPDT_Angled,,,,tht,"Switch, single pole double throw",,
SW2,1,RAM BANK SW,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,,,,tht,"2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",,
