pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
272.0698,-68.9399,-90.0,top,C1,,,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,100nF,tht
269.5898,-57.3899,0.0,top,C2,,,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,10nF,tht
311.4398,-80.2499,90.0,top,C3,,,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,10nF,tht
294.9298,-76.3799,90.0,top,C4,,,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,10nF,tht
269.5898,-53.5799,0.0,top,C5,,,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,100nF,tht
350.7498,-76.4399,180.0,top,C6,,,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,100nF,tht
245.4048,-58.6599,0.0,top,D1,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
307.6298,-80.2499,90.0,top,D10,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
245.4048,-56.1199,0.0,top,D2,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
245.4048,-61.1999,0.0,top,D3,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
245.4048,-68.8199,0.0,top,D4,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
245.3998,-71.3599,0.0,top,D5,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
245.4048,-53.5799,0.0,top,D6,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
245.4048,-63.7399,0.0,top,D7,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
245.4048,-66.2799,0.0,top,D8,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
259.3698,-75.1699,0.0,top,D9,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
259.3698,-53.5799,0.0,top,IC1,,,DIP-16_W7.62mm,4017,tht
